RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y,
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.25,0.00,1.00,0.00,1.40,1.00,1.00,0.00,1.00, 
1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.22,1.00,1.67,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00, 
0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00, 
0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00, 
1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.67,0.00,1.50,1.33,1.00,0.00,1.50,1.00,1.91,1.00,0.00,0.00,1.00, 
1.67,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00, 
1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.29,1.00,1.00,1.50,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00, 
1.00,1.00,0.00,0.00,0.00,1.67,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00, 
1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00, 
0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.50,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00, 
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.11,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00, 
1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00, 
1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.33,1.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00, 
1.50,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.40,1.33,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00, 
0.00,2.33,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00, 
0.00,1.50,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00, 
0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.50,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00, 
1.40,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.50, 
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.57,1.40,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00, 
1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.67,1.33,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00, 
1.83,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00, 
0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.50,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00, 
1.00,1.29,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00, 
0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.40,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00, 
1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.50,1.00,1.00,1.00,1.00,0.00, 
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.25,0.00,1.00,0.00,1.40,1.00,1.00,0.00,1.00, 
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.62,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00, 
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.57,1.57,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00, 
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.57,1.57,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00, 
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00, 
1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.40,1.00,1.00,0.00,1.00, 
1.67,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.40,0.00,1.67,0.00,1.00,1.00,1.00,1.00,1.00, 
1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.40,1.00,1.67,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00, 
0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.40,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00, 
0.00,1.40,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.57,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00, 
1.67,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.50,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00, 
0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00, 
1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.40,2.00,1.40,0.00,0.00,1.00,0.00,0.00,1.00, 
0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.40,1.00,0.00,1.00,0.00,1.67,0.00,0.00,0.00,0.00, 
0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.40,0.00,0.00, 
1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.50,1.29,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00, 
1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.50,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00, 
1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.50,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00, 
0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00, 
1.67,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.50,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
1.50,0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00, 
1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.67,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00, 
1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00, 
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.57,1.33,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00, 
0.00,1.40,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00, 
0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00, 
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.25,0.00,1.00,0.00,1.40,1.00,1.00,0.00,1.00, 
0.00,2.14,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00, 
1.40,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.40,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.50, 
1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00, 
1.83,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.50,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00, 
1.89,1.00,1.00,1.00,0.00,1.00,2.14,1.00,0.00,0.00,1.29,1.33,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00, 
1.67,6.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00, 
1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.57,0.00,1.00,1.00,1.40,0.00,1.00,1.00,0.00,1.50,1.00,0.00,1.00, 
1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.50,1.00,1.00,2.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00, 
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.67,0.00,1.00,0.00,1.40,1.00,1.00,0.00,1.00, 
1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.22,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.67, 
1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.50,1.00,1.00,0.00,1.50,1.00,1.67,1.00,0.00,0.00,0.00, 
1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.50,0.00,0.00,0.00,1.00,0.00,0.00, 
1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00, 
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 
1.50,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.40,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00, 
0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00, 
1.00,2.11,0.00,0.00,1.00,0.00,0.00,1.67,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00, 
1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,10.01,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00, 
1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00, 
1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.50,0.00,1.50,1.33,1.00,0.00,1.50,1.00,1.91,1.00,0.00,0.00,1.00, 
0.00,1.40,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00, 
1.50,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.67,1.50,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00, 
1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00, 
0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00, 
0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00, 
0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.57,1.00,1.50,2.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00, 
0.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00, 
2.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.33,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00, 
